Rounded P,"T, C",Data Source,mNaCl_rounded (group),"mNaCl, mol/kg",mNaCl_rounded,"P, bar",Ref,"solubility_experimental, mol/kg (bin)","T, C (group)",Temperature,"mCO2, Exp, mol/kg",Round_T,"Solubility Est New, Mol/Kg","Solubility Est Old, Mol/Kg",Solubility_estimated_Duan_Sun,"Solubility_estimated_XGB, mol/kg","solubility_experimental, mol/kg","T, K"
100,29.85,"Bando et al., 2003",0.25,0.170923,0.2,100,,1.2,30,30.0,1.290403,30,1.301829027,1.305704297,1.31,1.3,1.29,303
150,29.85,"Bando et al., 2003",0.25,0.170923,0.2,150,,1.3,30,30.0,1.336974,30,1.385750110,1.366013755,1.37,1.39,1.34,303
200,29.85,"Bando et al., 2003",0.25,0.170923,0.2,200,,1.3,30,30.0,1.401135,30,1.390553972,1.421857235,1.42,1.39,1.4,303
100,39.85,"Bando et al., 2003",0.25,0.170923,0.2,100,,1.1,45,40.0,1.151146,40,1.224725935,1.193385732,1.19,1.22,1.15,313
150,39.85,"Bando et al., 2003",0.25,0.170923,0.2,150,,1.2,45,40.0,1.226492,40,1.265633158,1.261082774,1.26,1.27,1.23,313
200,39.85,"Bando et al., 2003",0.25,0.170923,0.2,200,,1.2,45,40.0,1.290403,40,1.265729382,1.316005573,1.32,1.27,1.29,313
100,49.85,"Bando et al., 2003",0.25,0.170923,0.2,100,,1.1,50,50.0,1.064456,50,1.082482202,1.088598366,1.09,1.08,1.06,323
150,49.85,"Bando et al., 2003",0.25,0.170923,0.2,150,,1.1,50,50.0,1.139572,50,1.178233961,1.178641342,1.18,1.18,1.14,323
200,49.85,"Bando et al., 2003",0.25,0.170923,0.2,200,,1.2,50,50.0,1.238102,50,1.222718681,1.237895210,1.24,1.22,1.24,323
100,59.85,"Bando et al., 2003",0.25,0.170923,0.2,100,,0.9,60,60.0,1.00681,60,0.998919000,0.988401809,0.99,1,1.01,333
150,59.85,"Bando et al., 2003",0.25,0.170923,0.2,150,,1.1,60,60.0,1.116438,60,1.110793048,1.112766372,1.11,1.11,1.12,333
200,59.85,"Bando et al., 2003",0.25,0.170923,0.2,200,,1.2,60,60.0,1.197489,60,1.151922585,1.179075776,1.18,1.15,1.2,333
100,29.85,"Bando et al., 2003",0.25,0.348857,0.3,100,,1.2,30,30.0,1.220689,30,1.251840537,1.255567001,1.26,1.25,1.22,303
150,29.85,"Bando et al., 2003",0.25,0.348857,0.3,150,,1.2,30,30.0,1.267146,30,1.332393546,1.313417114,1.31,1.33,1.27,303
200,29.85,"Bando et al., 2003",0.25,0.348857,0.3,200,,1.3,30,30.0,1.319501,30,1.337106325,1.367206409,1.37,1.34,1.32,303
100,39.85,"Bando et al., 2003",0.25,0.348857,0.3,100,,1.1,45,40.0,1.139572,40,1.179045193,1.148873941,1.15,1.18,1.14,313
